node	expansions	synonyms	usage_notes
cs28	Genitive in Simple Apposition (Genitive > Genitive in Simple Apposition)		type=node; parent: Genitive; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs280	Imperatival (Subjunctive Mood > ἵνα + Subjunctive > Imperatival)		type=node; parent: ἵνα + Subjunctive; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs281	Subjunctive with Verbs of Fearing (Subjunctive Mood > Subjunctive with Verbs of Fearing)		type=node; parent: Subjunctive Mood; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs282	Subjunctive in Indirect Questions (Subjunctive Mood > Subjunctive in Indirect Questions)		type=node; parent: Subjunctive Mood; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs283	Subjunctive in Indefinite Relative Clause (Subjunctive Mood > Subjunctive in Indefinite Relative Clause)		type=node; parent: Subjunctive Mood; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.70
cs284	Subjunctive in Indefinite Temporal Clause (Subjunctive Mood > Subjunctive in Indefinite Temporal Clause)		type=node; parent: Subjunctive Mood; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.70
cs286	Voluntative Optative (Obtainable Wish) (Optative Mood > Voluntative Optative (Obtainable Wish))		type=node; parent: Optative Mood; source=merged; axis weights: morphology:1.00, syntax:0.80
cs287	Oblique Optative (Optative Mood > Oblique Optative)		type=node; parent: Optative Mood; source=merged; axis weights: morphology:1.00, syntax:0.80
cs288	Potential Optative (Optative Mood > Potential Optative)		type=node; parent: Optative Mood; source=merged; axis weights: morphology:1.00, syntax:0.80
cs289	Conditional Optative (Optative Mood > Conditional Optative)		type=node; parent: Optative Mood; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.70
cs29	Genitive of Apposition (Epexegetical) (Genitive > Genitive of Apposition (Epexegetical))		type=node; parent: Genitive; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs291	Command (Imperative Mood > Command)		type=node; parent: Imperative Mood; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs292	Prohibition (Imperative Mood > Prohibition)		type=node; parent: Imperative Mood; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs293	Request (Entreaty) (Imperative Mood > Request (Entreaty))		type=node; parent: Imperative Mood; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs294	Permissive Imperative (Toleration) (Imperative Mood > Permissive Imperative (Toleration))		type=node; parent: Imperative Mood; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs295	Conditional Imperative (Imperative Mood > Conditional Imperative)		type=node; parent: Imperative Mood; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.70
cs296	Potential Imperative (Imperative Mood > Potential Imperative)		type=node; parent: Imperative Mood; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs297	Pronouncement Imperative (Imperative Mood > Pronouncement Imperative)		type=node; parent: Imperative Mood; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs298	Stereotyped Greeting (Imperative Mood > Stereotyped Greeting)		type=node; parent: Imperative Mood; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs3	Nominative in Simple Apposition (Nominative > Nominative in Simple Apposition)		type=node; parent: Nominative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs30	Genitive of Destination (Genitive > Genitive of Destination)		type=node; parent: Genitive; source=merged; axis weights: morphology:1.00, syntax:0.80
cs300	Instantaneous Present (Present Tense > Instantaneous Present)		type=node; parent: Present Tense; source=merged; axis weights: morphology:1.00
cs301	Progressive Present (Present Tense > Progressive Present)		type=node; parent: Present Tense; source=merged; axis weights: morphology:1.00
cs302	Extending-From-Past Present (Present Tense > Extending-From-Past Present)		type=node; parent: Present Tense; source=merged; axis weights: morphology:1.00
cs303	Futuristic Present (Present Tense > Futuristic Present)		type=node; parent: Present Tense; source=merged; axis weights: morphology:1.00
cs304	Completely Futuristic (Present Tense > Futuristic Present > Completely Futuristic)		type=node; parent: Futuristic Present; source=cheatsheet; axis weights: morphology:1.00
cs305	Mostly Futuristic (Present Tense > Futuristic Present > Mostly Futuristic)		type=node; parent: Futuristic Present; source=cheatsheet; axis weights: morphology:1.00
cs306	Present Retained in Indirect Discourse (Present Tense > Present Retained in Indirect Discourse)		type=node; parent: Present Tense; source=merged; axis weights: morphology:1.00, discourse:0.70
cs307	Iterative Present (Present Tense > Iterative Present)		type=node; parent: Present Tense; source=merged; axis weights: morphology:1.00
cs308	Customary Present (Present Tense > Customary Present)		type=node; parent: Present Tense; source=merged; axis weights: morphology:1.00
cs309	Gnomic Present (Present Tense > Gnomic Present)		type=node; parent: Present Tense; source=merged; axis weights: morphology:1.00
cs31	Predicate Genitive (Genitive > Predicate Genitive)		type=node; parent: Genitive; source=merged; axis weights: morphology:1.00, syntax:0.80
cs310	Historical Present (Present Tense > Historical Present)		type=node; parent: Present Tense; source=merged; axis weights: morphology:1.00
cs311	Perfective Present (Present Tense > Perfective Present)		type=node; parent: Present Tense; source=merged; axis weights: morphology:1.00
cs312	Conative Present (Present Tense > Conative Present)		type=node; parent: Present Tense; source=merged; axis weights: morphology:1.00
cs313	In Progress, but not Complete (Present Tense > Conative Present > In Progress, but not Complete)		type=node; parent: Conative Present; source=cheatsheet; axis weights: morphology:1.00
cs314	Not Begun, but About/Desired to be Attempted (Present Tense > Conative Present > Not Begun, but About/Desired to be Attempted)		type=node; parent: Conative Present; source=cheatsheet; axis weights: morphology:1.00
cs316	Instantaneous Imperfect (Imperfect Tense > Instantaneous Imperfect)		type=node; parent: Imperfect Tense; source=merged; axis weights: morphology:1.00
cs317	Progressive (Descriptive) Imperfect (Imperfect Tense > Progressive (Descriptive) Imperfect)		type=node; parent: Imperfect Tense; source=merged; axis weights: morphology:1.00
cs318	Ingressive Imperfect (Imperfect Tense > Ingressive Imperfect)		type=node; parent: Imperfect Tense; source=merged; axis weights: morphology:1.00
cs319	Iterative Imperfect (Imperfect Tense > Iterative Imperfect)		type=node; parent: Imperfect Tense; source=merged; axis weights: morphology:1.00
cs32	Genitive of Subordination (Genitive > Genitive of Subordination)		type=node; parent: Genitive; source=merged; axis weights: morphology:1.00, syntax:0.80
cs320	Customary Imperfect (Imperfect Tense > Customary Imperfect)		type=node; parent: Imperfect Tense; source=merged; axis weights: morphology:1.00
cs321	"""Pluperfective"" Imperfect (Imperfect Tense > ""Pluperfective"" Imperfect)"		type=node; parent: Imperfect Tense; source=merged; axis weights: morphology:1.00
cs322	Conative Imperfect (Imperfect Tense > Conative Imperfect)		type=node; parent: Imperfect Tense; source=merged; axis weights: morphology:1.00
cs323	In Progress, but not Complete (Imperfect Tense > Conative Imperfect > In Progress, but not Complete)		type=node; parent: Conative Imperfect; source=cheatsheet; axis weights: morphology:1.00
cs324	Not Begun, but About/Desired to be Attempted (Imperfect Tense > Conative Imperfect > Not Begun, but About/Desired to be Attempted)		type=node; parent: Conative Imperfect; source=cheatsheet; axis weights: morphology:1.00
cs325	Imperfect Retained in Indirect Discourse (Imperfect Tense > Imperfect Retained in Indirect Discourse)		type=node; parent: Imperfect Tense; source=merged; axis weights: morphology:1.00, discourse:0.70
cs327	Constative Aorist (Aorist Tense > Constative Aorist)		type=node; parent: Aorist Tense; source=merged; axis weights: morphology:1.00
cs328	Ingressive Aorist (Aorist Tense > Ingressive Aorist)		type=node; parent: Aorist Tense; source=merged; axis weights: morphology:1.00
cs329	Consummative Aorist (Aorist Tense > Consummative Aorist)		type=node; parent: Aorist Tense; source=merged; axis weights: morphology:1.00
cs33	Genitive of Production/Producer (Genitive > Genitive of Production/Producer)		type=node; parent: Genitive; source=merged; axis weights: morphology:1.00, syntax:0.80
cs330	Gnomic Aorist (Aorist Tense > Gnomic Aorist)		type=node; parent: Aorist Tense; source=cheatsheet; axis weights: morphology:1.00
cs331	Epistolary Aorist (Aorist Tense > Epistolary Aorist)		type=node; parent: Aorist Tense; source=merged; axis weights: morphology:1.00, discourse:0.70
cs332	Proleptic Aorist (Aorist Tense > Proleptic Aorist)		type=node; parent: Aorist Tense; source=merged; axis weights: morphology:1.00
cs333	Immediate Past/Dramatic Aorist (Aorist Tense > Immediate Past/Dramatic Aorist)		type=node; parent: Aorist Tense; source=merged; axis weights: morphology:1.00
cs335	Predictive Future (Future Tense > Predictive Future)		type=node; parent: Future Tense; source=merged; axis weights: morphology:1.00
cs336	Imperatival Future (Future Tense > Imperatival Future)		type=node; parent: Future Tense; source=merged; axis weights: morphology:1.00
cs337	Deliberative Future (Future Tense > Deliberative Future)		type=node; parent: Future Tense; source=merged; axis weights: morphology:1.00
cs338	Gnomic Future (Future Tense > Gnomic Future)		type=node; parent: Future Tense; source=merged; axis weights: morphology:1.00
cs339	Miscellaneous Subjunctive Equivalents (Future Tense > Miscellaneous Subjunctive Equivalents)		type=node; parent: Future Tense; source=merged; axis weights: morphology:1.00
cs34	Genitive of Product (Genitive > Genitive of Product)		type=node; parent: Genitive; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80
cs341	Intensive Perfect (Resultative) (Perfect Tense > Intensive Perfect (Resultative))		type=node; parent: Perfect Tense; source=merged; axis weights: morphology:1.00
cs342	Extensive Perfect (Consummative) (Perfect Tense > Extensive Perfect (Consummative))		type=node; parent: Perfect Tense; source=merged; axis weights: morphology:1.00
cs343	Aoristic (Dramatic, Historical) Perfect (Perfect Tense > Aoristic (Dramatic, Historical) Perfect)		type=node; parent: Perfect Tense; source=merged; axis weights: morphology:1.00
cs344	Perfect with Present Force (Perfect Tense > Perfect with Present Force)		type=node; parent: Perfect Tense; source=merged; axis weights: morphology:1.00
cs345	Gnomic Perfect (Perfect Tense > Gnomic Perfect)		type=node; parent: Perfect Tense; source=merged; axis weights: morphology:1.00
cs346	Proleptic Perfect (Perfect Tense > Proleptic Perfect)		type=node; parent: Perfect Tense; source=merged; axis weights: morphology:1.00
cs347	Perfect of Allegory (Perfect Tense > Perfect of Allegory)		type=node; parent: Perfect Tense; source=merged; axis weights: morphology:1.00
cs349	Intensive Pluperfect (Resultative) (Pluperfect Tense > Intensive Pluperfect (Resultative))		type=node; parent: Pluperfect Tense; source=merged; axis weights: morphology:1.00
cs35	Genitive of Separation (Genitive > Genitive of Separation)		type=node; parent: Genitive; source=merged; axis weights: morphology:1.00, syntax:0.80
cs350	Extensive Pluperfect (Consummative) (Pluperfect Tense > Extensive Pluperfect (Consummative))		type=node; parent: Pluperfect Tense; source=cheatsheet; axis weights: morphology:1.00
cs351	Simple Past Pluperfect (Pluperfect Tense > Simple Past Pluperfect)		type=node; parent: Pluperfect Tense; source=cheatsheet; axis weights: morphology:1.00
cs353	Adverbial Uses (Infinitive > Adverbial Uses)		type=node; parent: Infinitive; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs354	Purpose (Infinitive > Adverbial Uses > Purpose)		type=node; parent: Adverbial Uses; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.70
cs355	Result (Infinitive > Adverbial Uses > Result)		type=node; parent: Adverbial Uses; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.70
cs356	Time: Antecedent (Infinitive > Adverbial Uses > Time: Antecedent)		type=node; parent: Adverbial Uses; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs357	Time: Contemporaneous (Infinitive > Adverbial Uses > Time: Contemporaneous)		type=node; parent: Adverbial Uses; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs358	Time: Subsequent (Infinitive > Adverbial Uses > Time: Subsequent)		type=node; parent: Adverbial Uses; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs359	Cause (Infinitive > Adverbial Uses > Cause)		type=node; parent: Adverbial Uses; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs36	Genitive of Source (or Origin) (Genitive > Genitive of Source (or Origin))		type=node; parent: Genitive; source=merged; axis weights: morphology:1.00, syntax:0.80
cs360	Means (Infinitive > Adverbial Uses > Means)		type=node; parent: Adverbial Uses; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs361	Complementary (Supplementary) (Infinitive > Complementary (Supplementary))		type=node; parent: Infinitive; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs362	Substantival (Infinitive > Substantival)		type=node; parent: Infinitive; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs363	Subject (Infinitive > Substantival > Subject)	grammatical subject	type=node; parent: Substantival; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs364	Direct Object (Infinitive > Substantival > Direct Object)	object of the verb	type=node; parent: Substantival; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs365	Indirect Discourse (Infinitive > Substantival > Indirect Discourse)		type=node; parent: Substantival; source=merged; axis weights: morphology:1.00, syntax:0.80, discourse:0.70, clause:0.60
cs366	Appositional (Infinitive > Substantival > Appositional)		type=node; parent: Substantival; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs367	Epexegetical (Infinitive > Substantival > Epexegetical)		type=node; parent: Substantival; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs368	Independent (Infinitive > Independent)		type=node; parent: Infinitive; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs369	Imperatival (Infinitive > Independent > Imperatival)		type=node; parent: Independent; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs37	Genitive of Comparison (Genitive > Genitive of Comparison)		type=node; parent: Genitive; source=merged; axis weights: morphology:1.00, syntax:0.80
cs370	Absolute (Infinitive > Independent > Absolute)		type=node; parent: Independent; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs372	Adjectival Participles (Participle > Adjectival Participles)		type=node; parent: Participle; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs373	Adjectival Proper (Participle > Adjectival Participles > Adjectival Proper)		type=node; parent: Adjectival Participles; source=cheatsheet; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs374	Attributive (Participle > Adjectival Participles > Attributive)		type=node; parent: Adjectival Participles; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs375	Predicate (Participle > Adjectival Participles > Predicate)		type=node; parent: Adjectival Participles; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs376	Substantival (Participle > Adjectival Participles > Substantival)		type=node; parent: Adjectival Participles; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs377	Verbal Participles: Dependent Verbal (Participle > Verbal Participles: Dependent Verbal)		type=node; parent: Participle; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs378	Temporal (Participle > Verbal Participles: Dependent Verbal > Temporal)		type=node; parent: Verbal Participles: Dependent Verbal; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.70
cs379	Manner (Participle > Verbal Participles: Dependent Verbal > Manner)		type=node; parent: Verbal Participles: Dependent Verbal; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs38	Subjective Genitive (Genitive > Subjective Genitive)		type=node; parent: Genitive; source=merged; axis weights: morphology:1.00, syntax:0.80
cs380	Means (Participle > Verbal Participles: Dependent Verbal > Means)		type=node; parent: Verbal Participles: Dependent Verbal; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs381	Cause (Participle > Verbal Participles: Dependent Verbal > Cause)		type=node; parent: Verbal Participles: Dependent Verbal; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs382	Condition (Participle > Verbal Participles: Dependent Verbal > Condition)		type=node; parent: Verbal Participles: Dependent Verbal; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs383	Concession (Participle > Verbal Participles: Dependent Verbal > Concession)		type=node; parent: Verbal Participles: Dependent Verbal; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs384	Purpose (Participle > Verbal Participles: Dependent Verbal > Purpose)		type=node; parent: Verbal Participles: Dependent Verbal; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.70
cs385	Result (Participle > Verbal Participles: Dependent Verbal > Result)		type=node; parent: Verbal Participles: Dependent Verbal; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.70
cs386	Attendant Circumstance (Participle > Verbal Participles: Dependent Verbal > Attendant Circumstance)		type=node; parent: Verbal Participles: Dependent Verbal; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs387	Indirect Discourse (Participle > Verbal Participles: Dependent Verbal > Indirect Discourse)		type=node; parent: Verbal Participles: Dependent Verbal; source=merged; axis weights: morphology:1.00, syntax:0.80, discourse:0.70, clause:0.60
cs388	Complementary (Participle > Verbal Participles: Dependent Verbal > Complementary)		type=node; parent: Verbal Participles: Dependent Verbal; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs389	Periphrastic (Participle > Verbal Participles: Dependent Verbal > Periphrastic)		type=node; parent: Verbal Participles: Dependent Verbal; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs39	Objective Genitive (Genitive > Objective Genitive)		type=node; parent: Genitive; source=merged; axis weights: morphology:1.00, syntax:0.80
cs390	Redundant (Pleonastic) (Participle > Verbal Participles: Dependent Verbal > Redundant (Pleonastic))		type=node; parent: Verbal Participles: Dependent Verbal; source=merged; axis weights: morphology:1.00, syntax:0.80, discourse:0.70, clause:0.60
cs391	Verbal Participles: Independent Verbal (Participle > Verbal Participles: Independent Verbal)		type=node; parent: Participle; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs392	Imperatival (Participle > Verbal Participles: Independent Verbal > Imperatival)		type=node; parent: Verbal Participles: Independent Verbal; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs393	Indicative (Participle > Verbal Participles: Independent Verbal > Indicative)		type=node; parent: Verbal Participles: Independent Verbal; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs394	Participle Absolute (Participle > Verbal Participles: Independent Verbal > Participle Absolute)		type=node; parent: Verbal Participles: Independent Verbal; source=merged; axis weights: morphology:1.00, syntax:0.80, clause:0.60
cs396	Nominative Absolute (Clauses > Nominative Absolute)		type=node; parent: Clauses; source=cheatsheet; axis weights: clause:1.00, syntax:0.70
cs397	Genitive Absolute (Clauses > Genitive Absolute)	genitive absolute participle; absolute participial clause	type=node; parent: Clauses; source=cheatsheet; axis weights: clause:1.00, syntax:0.70
cs398	Clauses (in General) (Clauses > Clauses (in General))		type=node; parent: Clauses; source=cheatsheet; axis weights: clause:1.00
cs399	Independent Clauses (Clauses > Clauses (in General) > Independent Clauses)		type=node; parent: Clauses (in General); source=merged; axis weights: clause:1.00
cs4	Nominative Absolute (Nominative > Nominative Absolute)		type=node; parent: Nominative; source=merged; axis weights: morphology:1.00, syntax:0.80
cs40	Plenary Genitive (Genitive > Plenary Genitive)		type=node; parent: Genitive; source=merged; axis weights: morphology:1.00, syntax:0.80
cs400	Dependent Clauses (Clauses > Clauses (in General) > Dependent Clauses)		type=node; parent: Clauses (in General); source=cheatsheet; axis weights: clause:1.00
cs401	Substantival (Clauses > Clauses (in General) > Substantival)		type=node; parent: Clauses (in General); source=merged; axis weights: clause:1.00
cs402	Adjectival (Clauses > Clauses (in General) > Adjectival)		type=node; parent: Clauses (in General); source=merged; axis weights: clause:1.00
cs403	Adverbial (Clauses > Clauses (in General) > Adverbial)		type=node; parent: Clauses (in General); source=merged; axis weights: clause:1.00
cs405	Logical Functions (Conjunctions > Logical Functions)		type=node; parent: Conjunctions; source=merged; axis weights: clause:1.00, discourse:0.80
cs406	Ascensive (Conjunctions > Logical Functions > Ascensive)		type=node; parent: Logical Functions; source=merged; axis weights: clause:1.00, discourse:0.80
cs407	Connective (Conjunctions > Logical Functions > Connective)		type=node; parent: Logical Functions; source=merged; axis weights: clause:1.00, discourse:0.80
cs408	Contrastive (Adversative) (Conjunctions > Logical Functions > Contrastive (Adversative))		type=node; parent: Logical Functions; source=merged; axis weights: clause:1.00, discourse:0.80
cs409	Correlative (Conjunctions > Logical Functions > Correlative)		type=node; parent: Logical Functions; source=merged; axis weights: clause:1.00, discourse:0.80
cs41	Genitive of Price or Value or Quantity (Genitive > Genitive of Price or Value or Quantity)		type=node; parent: Genitive; source=merged; axis weights: morphology:1.00, syntax:0.80
cs410	Disjunctive (Alternative) (Conjunctions > Logical Functions > Disjunctive (Alternative))		type=node; parent: Logical Functions; source=merged; axis weights: clause:1.00, discourse:0.80
cs411	Emphatic (Conjunctions > Logical Functions > Emphatic)		type=node; parent: Logical Functions; source=merged; axis weights: clause:1.00, discourse:0.80
cs412	Explanatory (Conjunctions > Logical Functions > Explanatory)		type=node; parent: Logical Functions; source=merged; axis weights: clause:1.00, discourse:0.80
cs413	Inferential (Conjunctions > Logical Functions > Inferential)		type=node; parent: Logical Functions; source=merged; axis weights: clause:1.00, discourse:0.80
cs414	Transitional (Conjunctions > Logical Functions > Transitional)		type=node; parent: Logical Functions; source=merged; axis weights: clause:1.00, discourse:0.80
cs415	Adverbial Functions (Conjunctions > Adverbial Functions)		type=node; parent: Conjunctions; source=merged; axis weights: clause:1.00, discourse:0.80
cs416	Causal (Conjunctions > Adverbial Functions > Causal)		type=node; parent: Adverbial Functions; source=merged; axis weights: clause:1.00, discourse:0.80, syntax:0.70
cs417	Comparative (Manner) (Conjunctions > Adverbial Functions > Comparative (Manner))		type=node; parent: Adverbial Functions; source=merged; axis weights: clause:1.00, discourse:0.80
cs418	Conditional (Conjunctions > Adverbial Functions > Conditional)		type=node; parent: Adverbial Functions; source=merged; axis weights: clause:1.00, discourse:0.80
cs419	Local (Sphere) (Conjunctions > Adverbial Functions > Local (Sphere))		type=node; parent: Adverbial Functions; source=merged; axis weights: clause:1.00, discourse:0.80
cs42	Genitive of Time (Genitive > Genitive of Time)		type=node; parent: Genitive; source=merged; axis weights: morphology:1.00, syntax:0.80
cs420	Purpose (Conjunctions > Adverbial Functions > Purpose)		type=node; parent: Adverbial Functions; source=merged; axis weights: clause:1.00, discourse:0.80
cs421	Result (Conjunctions > Adverbial Functions > Result)		type=node; parent: Adverbial Functions; source=merged; axis weights: clause:1.00, discourse:0.80
cs422	Temporal (Conjunctions > Adverbial Functions > Temporal)		type=node; parent: Adverbial Functions; source=merged; axis weights: clause:1.00, discourse:0.80
cs423	Substantival Functions (Conjunctions > Substantival Functions)		type=node; parent: Conjunctions; source=merged; axis weights: clause:1.00, discourse:0.80
cs424	Content (Conjunctions > Substantival Functions > Content)		type=node; parent: Substantival Functions; source=merged; axis weights: clause:1.00, discourse:0.80
cs425	Epexegetical (Conjunctions > Substantival Functions > Epexegetical)		type=node; parent: Substantival Functions; source=merged; axis weights: clause:1.00, discourse:0.80, syntax:0.70
cs427	In General (Conditional Sentences > In General)		type=node; parent: Conditional Sentences; source=cheatsheet; axis weights: clause:1.00
cs428	Cause-Effect (Conditional Sentences > In General > Cause-Effect)		type=node; parent: In General; source=merged; axis weights: clause:1.00
cs429	Evidence-Inference (Conditional Sentences > In General > Evidence-Inference)		type=node; parent: In General; source=merged; axis weights: clause:1.00
cs43	Genitive of Place (Genitive > Genitive of Place)		type=node; parent: Genitive; source=merged; axis weights: morphology:1.00, syntax:0.80
cs430	Equivalence (Conditional Sentences > In General > Equivalence)		type=node; parent: In General; source=merged; axis weights: clause:1.00
cs431	In Greek (Conditional Sentences > In Greek)		type=node; parent: Conditional Sentences; source=cheatsheet; axis weights: clause:1.00
cs432	First Class (Conditional Sentences > In Greek > First Class)		type=node; parent: In Greek; source=merged; axis weights: clause:1.00
cs433	Second Class (Conditional Sentences > In Greek > Second Class)		type=node; parent: In Greek; source=merged; axis weights: clause:1.00
cs434	Third Class (Conditional Sentences > In Greek > Third Class)		type=node; parent: In Greek; source=merged; axis weights: clause:1.00
cs435	Fourth Class (Conditional Sentences > In Greek > Fourth Class)		type=node; parent: In Greek; source=merged; axis weights: clause:1.00
cs437	Commands (Volitional Clauses (Commands and Prohibitions) > Commands)		type=node; parent: Volitional Clauses (Commands and Prohibitions); source=cheatsheet; axis weights: clause:1.00, syntax:0.80
cs438	Future Indicative (Volitional Clauses (Commands and Prohibitions) > Commands > Future Indicative)		type=node; parent: Commands; source=merged; axis weights: clause:1.00, syntax:0.80
cs439	Aorist Imperative (Volitional Clauses (Commands and Prohibitions) > Commands > Aorist Imperative)		type=node; parent: Commands; source=merged; axis weights: clause:1.00, syntax:0.80
cs44	Genitive of Means (Genitive > Genitive of Means)		type=node; parent: Genitive; source=merged; axis weights: morphology:1.00, syntax:0.80
cs440	Aorist Imperative: Ingressive (Volitional Clauses (Commands and Prohibitions) > Commands > Aorist Imperative: Ingressive)		type=node; parent: Commands; source=cheatsheet; axis weights: clause:1.00, syntax:0.80
cs441	Aorist Imperative: Momentary or Single Act / Pure Ingressive (Volitional Clauses (Commands and Prohibitions) > Commands > Aorist Imperative: Momentary or Single Act / Pure Ingressive)		type=node; parent: Commands; source=cheatsheet; axis weights: clause:1.00, syntax:0.80
cs442	Aorist Imperative: Constative (Volitional Clauses (Commands and Prohibitions) > Commands > Aorist Imperative: Constative)		type=node; parent: Commands; source=cheatsheet; axis weights: clause:1.00, syntax:0.80
cs443	Present Imperative (Volitional Clauses (Commands and Prohibitions) > Commands > Present Imperative)		type=node; parent: Commands; source=merged; axis weights: clause:1.00, syntax:0.80
cs444	Present Imperative: Ingressive-Progressive (Volitional Clauses (Commands and Prohibitions) > Commands > Present Imperative: Ingressive-Progressive)		type=node; parent: Commands; source=cheatsheet; axis weights: clause:1.00, syntax:0.80
cs445	Present Imperative: Customary (Volitional Clauses (Commands and Prohibitions) > Commands > Present Imperative: Customary)		type=node; parent: Commands; source=cheatsheet; axis weights: clause:1.00, syntax:0.80
cs446	Present Imperative: Iterative (Volitional Clauses (Commands and Prohibitions) > Commands > Present Imperative: Iterative)		type=node; parent: Commands; source=cheatsheet; axis weights: clause:1.00, syntax:0.80
cs447	Prohibitions (Volitional Clauses (Commands and Prohibitions) > Prohibitions)		type=node; parent: Volitional Clauses (Commands and Prohibitions); source=cheatsheet; axis weights: clause:1.00, syntax:0.80
cs448	Future Indicative (Volitional Clauses (Commands and Prohibitions) > Prohibitions > Future Indicative)		type=node; parent: Prohibitions; source=cheatsheet; axis weights: clause:1.00, syntax:0.80
cs449	Aorist Subjunctive (Volitional Clauses (Commands and Prohibitions) > Prohibitions > Aorist Subjunctive)		type=node; parent: Prohibitions; source=merged; axis weights: clause:1.00, syntax:0.80
cs45	Genitive of Agency (Genitive > Genitive of Agency)	agentive genitive; genitive of agent	type=node; parent: Genitive; source=merged; axis weights: morphology:1.00, syntax:0.80
cs450	Aorist Subjunctive: Ingressive (Volitional Clauses (Commands and Prohibitions) > Prohibitions > Aorist Subjunctive: Ingressive)		type=node; parent: Prohibitions; source=cheatsheet; axis weights: clause:1.00, syntax:0.80
cs451	Aorist Subjunctive: Constative (Volitional Clauses (Commands and Prohibitions) > Prohibitions > Aorist Subjunctive: Constative)		type=node; parent: Prohibitions; source=cheatsheet; axis weights: clause:1.00, syntax:0.80
cs452	Present Imperative (Volitional Clauses (Commands and Prohibitions) > Prohibitions > Present Imperative)		type=node; parent: Prohibitions; source=cheatsheet; axis weights: clause:1.00, syntax:0.80
cs453	Present Imperative: Cessation of Activity in Progress (Volitional Clauses (Commands and Prohibitions) > Prohibitions > Present Imperative: Cessation of Activity in Progress)		type=node; parent: Prohibitions; source=cheatsheet; axis weights: clause:1.00, syntax:0.80
cs454	Present Imperative: General Precept (Volitional Clauses (Commands and Prohibitions) > Prohibitions > Present Imperative: General Precept)		type=node; parent: Prohibitions; source=cheatsheet; axis weights: clause:1.00, syntax:0.80
